"season1","season2","season3","season4","yr0","yr1","mnth1","mnth2","mnth3","mnth4","mnth5","mnth6","mnth7","mnth8","mnth9","mnth10","mnth11","mnth12","weathersit1","weathersit2","weathersit3","temp","hum","windspeed","casual","registered","cnt","day","New_count"
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.826096507100084,1.26444026962718,-0.387731283972696,331,654,985,1,990.076386090467
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.61367484899664,-0.273599206961317,-0.389755219926081,108,1454,1562,4,1544.6672812146
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.82744041614039,-0.649251343117847,-0.845113823624953,54,1367,1421,14,1404.48094129166
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.11013210977079,0.806780021099045,0.258187636190535,78,1572,1650,19,1634.93429844709
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.63267501875197,0.164139175348551,-0.591217804726006,123,975,1098,29,1084.03605836848
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.49075828214936,-0.603973725307805,0.191397749728835,288,1184,1472,12,1471.99184434411
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.2526443088528,-2.24498568674705,1.37886795939242,140,1675,1815,15,1814.96117097933
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.325328950805716,-0.883643880924577,0.552157586966502,259,2216,2475,17,2469.73170772369
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.525633788140053,-1.58016302113741,2.07927123542077,532,1103,1635,19,1667.26789495282
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.04917095557306,-0.169598496757363,1.60112311288679,195,912,1107,21,1110.58296102632
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.715848541075859,0.595672503270007,2.12320413851558,120,1341,1461,25,1448.61629597799
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1.2494757929074,-0.669430265674413,0.367588120924162,137,1714,1851,1,1814.86029634637
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.607578166038243,1.14543746590187,0.845857679615351,640,1437,2077,5,2085.19811464424
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.977119995566449,0.148615828696756,0.590828256582507,247,1730,1977,11,1958.47397897691
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.606589370544938,-0.723761978955696,1.0986202943804,982,1435,2417,13,2461.73767927131
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.71110123011629,1.05514642707393,0.188024523139861,321,1871,2192,16,2171.46984215378
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1.14932337424023,1.26444026962718,0.736781024634265,166,1699,1865,24,1815.59841872288
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1.25403190031854,-1.67504180155863,0.275107740760832,981,1515,2496,26,2536.98358223444
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1.26214439373046,-2.33191357181557,0.310634563195913,222,1806,2028,28,2004.30115225233
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.197856276547292,-1.58281569973959,1.83606159835569,745,3444,4189,21,4202.29393750243
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.471356142954596,1.30014253883554,0.0403851417936166,1710,2481,4191,24,4284.03652952738
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.607930106118246,1.05618179288097,-0.0519333234934431,773,3300,4073,25,4064.12400863006
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.257388446345368,0.029741553140598,-0.924802928562891,550,3632,4182,11,4181.59814529782
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.216416257396273,0.847916175680918,0.00654493265302227,695,4169,4864,12,4866.79651625153
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.139022523950695,2.09749559797354,-0.731746424422692,902,2507,3409,14,3441.2144899486
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.585165957938129,-0.0148862833698527,-0.924694985312044,2258,3547,5805,21,5963.99296066533
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.762712110050875,-1.23174100570609,-0.891070662673144,1869,3473,5342,4,5456.8449813628
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.70962310033268,-0.431417517769955,-0.530256853810055,563,3352,3915,9,3916.35154908771
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.11325376982375,0.270731870297033,-1.17633768884956,1639,3105,4744,19,4841.09888488891
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.762712110050875,0.838990608378827,-0.454804521467869,699,3311,4010,20,4014.60968954526
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.09048962164364,-1.03835609431209,0.275107740760832,1782,3420,5202,25,5305.14078699097
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.32721600347445,-1.31504868067688,-1.00009334602881,2204,2915,5119,2,5236.12705561349
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.37274429983469,0.020815985838508,-0.580855252644675,748,3594,4342,13,4310.69874215725
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.01309588819806,-1.08893192887265,0.69468315680386,888,4196,5084,14,5073.89681360779
